stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
H1sb148b,,"SARS-LA-BRUYERE Rambourg",,  50.364233,   3.877732,,,0
H1sb149a,,"SARS-LA-BRUYERE Rue Taisnières",,  50.369246,   3.871054,,,0
H1sb149b,,"SARS-LA-BRUYERE Rue Taisnières",,  50.369402,   3.871119,,,0
H1sb150a,,"SARS-LA-BRUYERE Sentier Rambourg",,  50.365968,   3.872824,,,0
H1sb150b,,"SARS-LA-BRUYERE Sentier Rambourg",,  50.366156,   3.872964,,,0
H1sb151a,,"SARS-LA-BRUYERE Camping",,  50.371861,   3.873772,,,0
H1sb151b,,"SARS-LA-BRUYERE Camping",,  50.371863,   3.873968,,,0
H1sd342a,,"SAINT-DENIS Bois Becqueron",,  50.487917,   4.035320,,,0
H1sd343a,,"SAINT-DENIS Carrefour",,  50.484825,   4.037129,,,0
H1sd344a,,"SAINT-DENIS Cour des Dames",,  50.487101,   4.015823,,,0
H1sd344b,,"SAINT-DENIS Cour des Dames",,  50.487321,   4.015782,,,0
H1sd346a,,"SAINT-DENIS Pont de l'Autoroute",,  50.486896,   4.019825,,,0
H1sd347a,,"SAINT-DENIS Rue Grand Coron",,  50.489013,   4.018117,,,0
H1sd366a,,"SAINT-DENIS Sainte-Appoline",,  50.486078,   4.019521,,,0
H1sd366b,,"SAINT-DENIS Sainte-Appoline",,  50.486177,   4.018939,,,0
H1sg142a,,"SAINT-GHISLAIN 4 ème Rue",,  50.446121,   3.814163,,,0
H1sg144a,,"SAINT-GHISLAIN Chasse des Morts",,  50.459767,   3.807691,,,0
H1sg144b,,"SAINT-GHISLAIN Chasse des Morts",,  50.459532,   3.807551,,,0
H1sg145a,,"SAINT-GHISLAIN Cité Ouvrière",,  50.443361,   3.812559,,,0
H1sg145b,,"SAINT-GHISLAIN Cité Ouvrière",,  50.443232,   3.812372,,,0
H1sg146a,,"SAINT-GHISLAIN Dépôt",,  50.454508,   3.810668,,,0
H1sg146b,,"SAINT-GHISLAIN Dépôt",,  50.454371,   3.810665,,,0
H1sg147a,,"SAINT-GHISLAIN SNCB",,  50.443004,   3.819999,,,0
H1sg147d,,"SAINT-GHISLAIN SNCB",,  50.443004,   3.819999,,,0
H1sg148a,,"SAINT-GHISLAIN Place",,  50.447425,   3.820899,,,0
H1sg148b,,"SAINT-GHISLAIN Place",,  50.448089,   3.819359,,,0
H1sg149a,,"TERTRE Route de Tournai",,  50.459590,   3.811916,,,0
H1sg149b,,"TERTRE Route de Tournai",,  50.459427,   3.812214,,,0
H1sg150a,,"SAINT-GHISLAIN Rue du Sas",,  50.448297,   3.814064,,,0
H1sg150b,,"SAINT-GHISLAIN Rue du Sas",,  50.448277,   3.814223,,,0
H1sg150c,,"SAINT-GHISLAIN Rue du Sas",,  50.450017,   3.813331,,,0
H1si151a,,"SIRAULT 3 Cantons",,  50.504043,   3.746287,,,0
H1si151b,,"SIRAULT 3 Cantons",,  50.503886,   3.746512,,,0
H1si152a,,"SIRAULT Au Noir Bonnet",,  50.507632,   3.799559,,,0
H1si152b,,"SIRAULT Au Noir Bonnet",,  50.507653,   3.799267,,,0
H1si152c,,"SIRAULT Au Noir Bonnet",,  50.508140,   3.800062,,,0
H1si153a,,"SIRAULT Au Normandy",,  50.499598,   3.759870,,,0
H1si153b,,"SIRAULT Au Normandy",,  50.499627,   3.759707,,,0
H1si154a,,"SIRAULT Café La Montagne",,  50.500348,   3.803510,,,0
H1si155a,,"SIRAULT Cahot",,  50.500735,   3.783775,,,0
H1si155b,,"SIRAULT Cahot",,  50.500848,   3.783644,,,0
H1si156a,,"SIRAULT Cavin",,  50.503416,   3.760928,,,0
H1si156d,,"SIRAULT Cavin",,  50.503780,   3.760381,,,0
H1si157a,,"SIRAULT Chapelle",,  50.503012,   3.786967,,,0
H1si157b,,"SIRAULT Chapelle",,  50.503235,   3.787276,,,0
H1si162a,,"SIRAULT Ancienne Gare",,  50.506239,   3.795796,,,0
H1si162b,,"SIRAULT Ancienne Gare",,  50.506037,   3.795222,,,0
H1si163a,,"SIRAULT Le Happart",,  50.504554,   3.749254,,,0
H1si163b,,"SIRAULT Le Happart",,  50.504461,   3.749046,,,0
H1si164a,,"SIRAULT Passage à Niveau",,  50.513749,   3.797450,,,0
H1si164b,,"SIRAULT Passage à Niveau",,  50.513748,   3.797244,,,0
H1si167a,,"SIRAULT Postes",,  50.504520,   3.790786,,,0
H1si167b,,"SIRAULT Postes",,  50.504573,   3.790632,,,0
H1si169a,,"SIRAULT Rue Hautecoeur",,  50.499508,   3.798804,,,0
H1si169b,,"SIRAULT Rue Hautecoeur",,  50.499211,   3.799033,,,0
H1so131a,,"MERBES-LE-CHATEAU Calvaire",,  50.314539,   4.143749,,,0
H1so131b,,"MERBES-LE-CHATEAU Calvaire",,  50.315727,   4.144917,,,0
H1so131e,,"SOLRE-SUR-SAMBRE Calvaire",,  50.307893,   4.143061,,,0
H1so131f,,"SOLRE-SUR-SAMBRE Calvaire",,  50.305658,   4.146657,,,0
H1so132a,,"SOLRE-SUR-SAMBRE Dépôt",,  50.316298,   4.158009,,,0
H1so132b,,"SOLRE-SUR-SAMBRE Dépôt",,  50.316085,   4.157719,,,0
H1so133a,,"SOLRE-SUR-SAMBRE Gare S.N.C.B.",,  50.312293,   4.157347,,,0
H1so133b,,"SOLRE-SUR-SAMBRE Gare S.N.C.B.",,  50.312323,   4.157133,,,0
H1so135a,,"SOLRE-SUR-SAMBRE La Cavée",,  50.307389,   4.160256,,,0
H1so135b,,"SOLRE-SUR-SAMBRE La Cavée",,  50.308058,   4.159387,,,0
H1so135c,,"SOLRE-SUR-SAMBRE La Cavée",,  50.306464,   4.158823,,,0
H1so136a,,"SOLRE-SUR-SAMBRE La Poule",,  50.298506,   4.158124,,,0
H1so136b,,"SOLRE-SUR-SAMBRE La Poule",,  50.298306,   4.158243,,,0
H1so136c,,"SOLRE-SUR-SAMBRE La Poule",,  50.300000,   4.158512,,,0
H1so136d,,"SOLRE-SUR-SAMBRE La Poule",,  50.299946,   4.158317,,,0
H1so137a,,"SOLRE-SUR-SAMBRE La Thure",,  50.289581,   4.154359,,,0
H1so137b,,"SOLRE-SUR-SAMBRE La Thure",,  50.289661,   4.154572,,,0
H1so139c,,"SOLRE-SUR-SAMBRE Monument",,  50.310382,   4.157886,,,0
H1so139d,,"SOLRE-SUR-SAMBRE Monument",,  50.310474,   4.158067,,,0
H1so141a,,"SOLRE-SUR-SAMBRE Pont Levis",,  50.321393,   4.162587,,,0
H1so141b,,"SOLRE-SUR-SAMBRE Pont Levis",,  50.321361,   4.162257,,,0
H1so142a,,"ERQUELINNES Route de Mons",,  50.311913,   4.134183,,,0
H1so142b,,"ERQUELINNES Route de Mons",,  50.312033,   4.134884,,,0
H1so142c,,"ERQUELINNES Route de Mons",,  50.313079,   4.133626,,,0
H1so142d,,"ERQUELINNES Route de Mons",,  50.312732,   4.134543,,,0
H1so143a,,"SOLRE-SUR-SAMBRE Rue Sole Godeau",,  50.301642,   4.153665,,,0
H1so143b,,"SOLRE-SUR-SAMBRE Rue Sole Godeau",,  50.301085,   4.154999,,,0
H1so145a,,"SOLRE-SUR-SAMBRE Nouvelle Cité",,  50.304439,   4.158416,,,0
H1so145b,,"SOLRE-SUR-SAMBRE Nouvelle Cité",,  50.304959,   4.158281,,,0
H1so146a,,"SOLRE-SUR-SAMBRE Nicolas Ier",,  50.302788,   4.151679,,,0
H1so146b,,"SOLRE-SUR-SAMBRE Nicolas Ier",,  50.302958,   4.151717,,,0
H1sp353a,,"SPIENNES Chaussée de Beaumont,17",,  50.424773,   4.000110,,,0
H1sp353b,,"SPIENNES Chaussée de Beaumont,17",,  50.424445,   4.000604,,,0
H1sp354a,,"SPIENNES Ecole",,  50.426572,   3.990681,,,0
H1sp354b,,"SPIENNES Ecole",,  50.426287,   3.990394,,,0
